file,vertex,edge,color,iterations,durations, ,tabuTenure
..\GCP_instances\DSJC125.1.col,125,736,5,60195,0.06, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,14902,0.025, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,169106,0.154, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,52095,0.064, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,9446922,12.188, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,2766613,3.616, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,86490,0.151, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,98594,0.182, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,195513,0.315, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,6207061,9.228, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,4980528,6.791, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,52148132,37.976, ,target+ rand() % 10 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,27756,0.033, ,target+ rand() % 10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,174345,0.131, ,target+ rand() % 10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,480359,0.354, ,target+ rand() % 10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,5612,0.019, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,70153,0.069, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,44915,0.045, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,3917712,5.366, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,3244029,3.988, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,3091635,3.846, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,221688,0.364, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,153423,0.256, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.1.col,250,3218,8,342753,0.474, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,39627,0.047, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,17343,0.029, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,291605,0.513, ,target+ rand() % 20 +  30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,293317,0.438, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,294863,0.401, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,399851,0.546, ,target+ rand() % 30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,413789,0.583, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,445208,0.665, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.1.col,500,12458,13,158099,0.506, ,target+ rand() % 30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,29,5721852,13.28, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,FAIL,best=2, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,29,938592,2.319, ,target+ rand() % 30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,FAIL,best=1, ,target+ rand() % 30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,29,983541,2.424, ,target+ rand() % 20 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,29,1095763,2.837, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,FAIL,best=1, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,29,250863,0.675, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,18,6636,0.026, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,467917,0.693, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,498437,0.794, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,568646,0.954, ,target+ rand() % 20 +  30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,836218,1.18, ,target+ rand() % 40 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,982130,1.291, ,target+ rand() % 30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1105330,1.668, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1481862,2.529, ,target+ rand() % 20 +  30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2281600,3.509, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2879079,4.891, ,target+ rand() % 80 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,3019601,3.677, ,target+ rand() % 20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,4141005,6.909, ,target+ rand() % 80 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,9156399,10.639, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,3052,0.024, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,5336,0.026, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,10711,0.031, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,7414,0.021, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,48952,0.058, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,11147093,32.136, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,50573059,142.094, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,73,57987,0.262, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,72,3352223,11.983, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,72,685514,2.601, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.1.col,500,12458,13,87798,0.293, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.1.col,500,12458,12,FAIL,best=2, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.5.col,500,62624,49,FAIL,best=4, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.5.col,500,62624,50,25021618,149.468, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,72,7734352,27.988, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,6,127,0.017, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,565738,0.447, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,4335775,3.072, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,18,33118,0.051, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,33978951,41.92, ,target+ rand() % 20 + iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,18,395836,0.356, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.5.col,125,3891,17,FAIL,best=1, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,45,4701927,13.795, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.9.col,125,6961,44,147934,0.232, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.9.col,125,6961,44,15466,0.046, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,6600,0.033, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,FAIL,best=3, ,target+ rand() % 10 +  iterTimes 
